,vote-share,goals,assists,ops,dps,plus-minus,mvp,position_C,position_D,position_W,points,tps
308,96.76,38,56,10.1,3.1,35,1,0,0,1,94,13.2
309,24.1,41,32,8.0,3.1,21,0,0,0,1,73,11.1
310,16.76,35,49,9.0,2.5,24,0,0,0,1,84,11.5
311,13.71,33,54,8.6,2.2,11,0,1,0,0,87,10.8
312,6.67,14,40,5.1,6.9,20,0,0,1,0,54,12.0
313,5.62,41,46,8.9,1.7,-10,0,0,0,1,87,10.6
314,5.24,31,44,7.2,2.0,11,0,1,0,0,75,9.2
315,3.52,38,43,8.8,3.0,26,0,0,0,1,81,11.8
316,3.52,23,50,6.3,2.5,18,0,1,0,0,73,8.8
317,2.76,14,40,5.1,5.7,-1,0,0,1,0,54,10.8
318,2.1,32,48,8.6,1.9,12,0,0,0,1,80,10.5
319,1.62,36,46,9.2,1.6,4,0,0,0,1,82,10.799999999999999
320,0.95,30,38,7.2,1.2,-2,0,1,0,0,68,8.4
321,0.57,28,29,5.4,1.3,-5,0,1,0,0,57,6.7
322,0.48,26,53,7.1,2.2,14,0,1,0,0,79,9.3
323,0.38,30,49,8.1,1.9,4,0,1,0,0,79,10.0
324,0.29,16,25,4.3,6.1,33,0,0,1,0,41,10.399999999999999
325,0.29,26,49,7.2,2.2,18,0,0,0,1,75,9.4
326,0.29,41,16,7.1,0.6,-35,0,0,0,1,57,7.699999999999999
327,0.1,24,16,3.9,2.1,22,0,1,0,0,40,6.0
328,82.02,29,96,10.2,3.1,31,1,1,0,0,125,13.299999999999999
329,75.5,54,69,12.1,3.4,34,0,0,0,1,123,15.5
330,9.38,45,55,9.8,1.3,-8,0,1,0,0,100,11.100000000000001
331,9.22,43,60,9.7,2.6,29,0,0,0,1,103,12.299999999999999
332,8.45,52,54,11.0,1.6,2,0,0,0,1,106,12.6
333,8.22,16,64,6.8,6.1,21,0,0,1,0,80,12.899999999999999
334,5.12,13,50,5.0,5.0,8,0,0,1,0,63,10.0
335,2.56,31,39,4.5,2.2,8,0,1,0,0,70,6.7
336,2.56,50,53,10.2,2.7,29,0,0,0,1,103,12.899999999999999
337,1.4,48,41,8.5,2.9,18,0,0,0,1,89,11.4
338,1.4,40,50,8.7,2.7,28,0,0,0,1,90,11.399999999999999
339,1.24,56,37,10.0,2.7,23,0,0,0,1,93,12.7
340,0.85,19,56,6.1,1.8,21,0,1,0,0,75,7.8999999999999995
341,0.31,16,27,3.6,4.5,17,0,0,1,0,43,8.1
342,0.31,27,50,5.6,2.8,23,0,1,0,0,77,8.399999999999999
343,0.23,28,59,7.4,2.4,26,0,1,0,0,87,9.8
344,0.23,47,32,8.3,2.5,31,0,0,0,1,79,10.8
345,0.16,39,63,8.9,1.6,-1,0,1,0,0,102,10.5
346,0.16,52,46,9.8,1.4,-6,0,0,0,1,98,11.200000000000001
347,0.08,31,54,6.8,1.5,-6,0,0,0,1,85,8.3
348,0.08,12,44,4.0,5.6,2,0,0,1,0,56,9.6
349,0.08,23,68,5.6,2.4,0,0,1,0,0,91,8.0
350,0.08,32,18,5.6,0.9,0,0,0,0,1,50,6.5
351,85.66,36,84,11.3,2.0,10,1,1,0,0,120,13.3
352,25.31,52,56,11.2,2.2,2,0,1,0,0,108,13.399999999999999
353,16.08,22,92,9.0,3.2,24,0,1,0,0,114,12.2
354,3.71,13,49,5.3,7.9,40,0,0,1,0,62,13.2
355,3.15,15,54,6.1,5.6,6,0,0,1,0,69,11.7
356,3.08,36,64,9.1,1.7,2,0,1,0,0,100,10.799999999999999
357,2.52,48,46,10.3,2.7,26,0,0,0,1,94,13.0
358,2.45,43,57,9.9,2.5,18,0,0,0,1,100,12.4
359,2.31,32,63,8.4,1.6,17,0,1,0,0,95,10.0
360,1.96,50,55,10.8,2.6,31,0,0,0,1,105,13.4
361,0.98,37,32,6.6,0.9,1,0,1,0,0,69,7.5
362,0.84,43,59,9.2,2.6,7,0,0,0,1,102,11.799999999999999
363,0.7,39,55,9.2,1.9,12,0,0,0,1,94,11.1
364,0.35,24,52,5.4,1.8,6,0,0,0,1,76,7.2
365,0.35,29,58,7.0,3.0,42,0,0,0,1,87,10.0
366,0.35,29,33,5.5,1.7,2,0,0,0,1,62,7.2
367,0.21,30,66,7.8,3.2,26,0,0,0,1,96,11.0
368,0.14,30,27,6.3,1.8,12,0,0,0,1,57,8.1
369,0.07,43,41,8.9,2.7,47,0,0,0,1,84,11.600000000000001
370,0.07,46,46,9.6,0.9,-19,0,0,0,1,92,10.5
371,0.07,13,46,5.3,6.4,27,0,0,1,0,59,11.7
372,97.99,65,47,14.1,3.1,28,1,0,0,1,112,17.2
373,49.18,47,59,11.5,2.4,16,0,1,0,0,106,13.9
374,42.16,50,48,11.3,2.9,27,0,0,0,1,98,14.200000000000001
375,18.36,10,60,6.4,8.1,40,0,0,1,0,70,14.5
376,11.72,29,67,8.6,3.3,18,0,1,0,0,96,11.899999999999999
377,7.01,35,49,8.4,2.4,18,0,0,0,1,84,10.8
378,3.21,31,66,8.8,3.7,41,0,1,0,0,97,12.5
379,1.27,43,49,9.9,3.2,30,0,0,0,1,92,13.100000000000001
380,0.67,42,41,9.2,2.5,17,0,0,0,1,83,11.7
381,0.52,17,43,6.1,5.1,12,0,0,1,0,60,11.2
382,0.3,17,34,5.1,5.4,14,0,0,1,0,51,10.5
383,0.3,52,35,10.7,1.3,-12,0,0,0,1,87,12.0
384,0.22,40,49,9.7,1.8,15,0,0,0,1,89,11.5
385,0.15,24,48,7.2,1.9,18,0,1,0,0,72,9.1
386,0.15,12,53,6.0,5.2,13,0,0,1,0,65,11.2
387,0.15,40,52,9.1,1.6,-17,0,1,0,0,92,10.7
